keyword,month,kw_count_month,kw_sent_sum,kw_sent_pos_sum,global_total,kw_share_global,kw_sent_share_global,kw_pos_sent_share_global
Coffee,2022-01-01,5,3.8207,3.8207,31,0.16129032258064516,0.12324838709677419,0.12324838709677419
Coffee,2022-02-01,8,4.5483,4.800599999999999,28,0.2857142857142857,0.16243928571428573,0.17144999999999996
Coffee,2022-03-01,11,9.4099,9.409899999999999,36,0.3055555555555556,0.2613861111111111,0.2613861111111111
Coffee,2022-04-01,8,5.3143,5.314299999999999,25,0.32,0.212572,0.21257199999999998
Coffee,2022-05-01,2,-0.2592,0.5445,15,0.13333333333333333,-0.01728,0.0363
Coffee,2022-06-01,11,7.5653,8.3673,28,0.39285714285714285,0.2701892857142857,0.2988321428571429
Coffee,2022-07-01,11,5.4038,6.9205000000000005,32,0.34375,0.16886875,0.21626562500000002
Coffee,2022-08-01,7,5.0689,5.151800000000001,23,0.30434782608695654,0.22038695652173915,0.2239913043478261
Coffee,2022-09-01,10,6.0372,6.6796,19,0.5263157894736842,0.31774736842105267,0.35155789473684207
Coffee,2022-10-01,8,2.0949,3.9772999999999996,33,0.24242424242424243,0.06348181818181818,0.12052424242424241
Coffee,2022-11-01,10,7.810099999999999,7.8101,32,0.3125,0.24406562499999998,0.244065625
Coffee,2022-12-01,11,5.416,6.7018,33,0.3333333333333333,0.16412121212121214,0.2030848484848485
Coffee,2023-01-01,8,5.6879,6.029100000000001,42,0.19047619047619047,0.13542619047619048,0.14355
Coffee,2023-02-01,8,1.9291,3.4547999999999996,30,0.26666666666666666,0.06430333333333334,0.11515999999999998
Coffee,2023-03-01,16,11.8588,12.375,45,0.35555555555555557,0.2635288888888889,0.275
Coffee,2023-04-01,7,3.8942,4.438400000000001,29,0.2413793103448276,0.13428275862068967,0.15304827586206898
Coffee,2023-05-01,6,3.9579000000000004,3.9579000000000004,23,0.2608695652173913,0.1720826086956522,0.1720826086956522
Coffee,2023-06-01,6,3.8512,3.8512000000000004,21,0.2857142857142857,0.1833904761904762,0.18339047619047621
Coffee,2023-07-01,6,3.2403,3.2403000000000004,17,0.35294117647058826,0.19060588235294118,0.1906058823529412
Coffee,2023-08-01,8,2.3228,3.9991,24,0.3333333333333333,0.09678333333333333,0.16662916666666666
Coffee,2023-09-01,7,5.1875,5.187499999999999,13,0.5384615384615384,0.39903846153846156,0.39903846153846145
Coffee,2023-10-01,6,4.5533,4.7410000000000005,25,0.24,0.18213200000000002,0.18964000000000003
Coffee,2023-11-01,7,3.782,4.2253,21,0.3333333333333333,0.18009523809523809,0.2012047619047619
Coffee,2023-12-01,7,4.1273,4.4525,30,0.23333333333333334,0.13757666666666665,0.14841666666666667
Coffee,2024-01-01,9,2.814,4.2299999999999995,41,0.21951219512195122,0.06863414634146342,0.10317073170731707
Coffee,2024-02-01,3,2.1893000000000002,2.1893000000000002,22,0.13636363636363635,0.09951363636363637,0.09951363636363637
Coffee,2024-03-01,5,2.292,3.1896,29,0.1724137931034483,0.07903448275862068,0.10998620689655172
Coffee,2024-04-01,15,2.1984,5.5973999999999995,48,0.3125,0.0458,0.1166125
Coffee,2024-05-01,6,2.8298,3.5425000000000004,33,0.18181818181818182,0.08575151515151515,0.10734848484848486
Coffee,2024-06-01,8,3.1677,4.2535,37,0.21621621621621623,0.08561351351351351,0.11495945945945946
Coffee,2024-07-01,18,13.0393,13.533200000000003,36,0.5,0.3622027777777778,0.37592222222222227
Coffee,2024-08-01,16,11.9101,12.8051,58,0.27586206896551724,0.20534655172413793,0.22077758620689655
Coffee,2024-09-01,18,9.4993,11.829699999999999,58,0.3103448275862069,0.16378103448275863,0.20396034482758618
Coffee,2024-10-01,27,13.985899999999999,15.445699999999999,68,0.39705882352941174,0.205675,0.2271426470588235
Coffee,2024-11-01,12,2.472,4.823199999999999,49,0.24489795918367346,0.05044897959183674,0.09843265306122446
Coffee,2024-12-01,10,1.9929999999999999,3.6018999999999997,54,0.18518518518518517,0.0369074074074074,0.06670185185185185
Coffee,2025-01-01,9,4.5694,5.2878,68,0.1323529411764706,0.06719705882352942,0.07776176470588235
Coffee,2025-02-01,20,11.6006,13.0867,64,0.3125,0.181259375,0.2044796875
Coffee,2025-03-01,15,6.4958,9.0527,71,0.2112676056338028,0.09149014084507043,0.12750281690140844
Coffee,2025-04-01,20,7.3001000000000005,9.977200000000002,87,0.22988505747126436,0.08390919540229885,0.11468045977011496
Coffee,2025-05-01,15,8.2635,8.934700000000001,113,0.13274336283185842,0.0731283185840708,0.07906814159292036
Coffee,2025-06-01,34,18.1833,21.6061,136,0.25,0.13370073529411763,0.15886838235294118
Coffee,2025-07-01,134,57.5997,80.4016,316,0.4240506329113924,0.18227753164556962,0.25443544303797466
Coffee,2025-08-01,96,39.92,56.8062,331,0.29003021148036257,0.12060422960725076,0.17161993957703928
Junkfood,2017-01-01,1,0.0,0.0,3,0.3333333333333333,0.0,0.0
Junkfood,2017-02-01,5,-0.629,0.6705,10,0.5,-0.0629,0.06705
Junkfood,2017-03-01,2,1.5682999999999998,1.5682999999999998,3,0.6666666666666666,0.5227666666666666,0.5227666666666666
Junkfood,2017-05-01,2,0.5658000000000001,0.884,5,0.4,0.11316000000000001,0.1768
Junkfood,2017-06-01,2,-1.6705999999999999,0.0,4,0.5,-0.41764999999999997,0.0
Junkfood,2017-07-01,4,2.7799,2.7799,5,0.8,0.55598,0.55598
Junkfood,2017-08-01,2,0.060299999999999965,0.4215,10,0.2,0.006029999999999996,0.04215
Junkfood,2017-09-01,4,1.9447,1.9447,8,0.5,0.2430875,0.2430875
Junkfood,2017-10-01,1,0.4019,0.4019,7,0.14285714285714285,0.05741428571428571,0.05741428571428571
Junkfood,2017-11-01,1,0.315,0.315,5,0.2,0.063,0.063
Junkfood,2017-12-01,2,0.9023,0.9023,7,0.2857142857142857,0.1289,0.1289
Junkfood,2018-01-01,4,1.2731,1.4011,11,0.36363636363636365,0.11573636363636362,0.12737272727272728
Junkfood,2018-02-01,2,-0.25,0.0,10,0.2,-0.025,0.0
Junkfood,2018-03-01,4,1.0538,1.9797,15,0.26666666666666666,0.07025333333333333,0.13198000000000001
Junkfood,2018-05-01,4,-2.0761000000000003,0.0,16,0.25,-0.12975625000000002,0.0
Junkfood,2018-06-01,1,0.9909,0.9909,10,0.1,0.09909,0.09909
Junkfood,2018-07-01,3,1.3851,1.8439,19,0.15789473684210525,0.0729,0.09704736842105263
Junkfood,2018-08-01,1,-0.4939,0.0,8,0.125,-0.0617375,0.0
Junkfood,2018-09-01,11,6.1295,7.797700000000001,22,0.5,0.2786136363636364,0.35444090909090914
Junkfood,2018-10-01,5,0.17439999999999992,1.945,13,0.38461538461538464,0.013415384615384609,0.14961538461538462
Junkfood,2018-11-01,6,3.3186,3.5686,26,0.23076923076923078,0.12763846153846153,0.13725384615384614
Junkfood,2018-12-01,2,-0.5748,0.0,8,0.25,-0.07185,0.0
